,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,50.5,42.5,162.5,31.0,2258.0,93.5,78.5,19.0,7.5,289.0,9.0,6.0,556.0,162.5,6.0,482.0,17.0,831.5,525.0,73.0,1.0,37.5,1.5,7.5,583.0,38.5,43.5,249.5,38.0,4.0,28.5,168.5,76.5,33.5,38.5,2.5,88.0,10.5,16.0,5.0,160.0,893.5,327.0,21.5,12.0,31.5,389.0,46.0,91.0,2546.5,37.5,7.0,115.5,167.0,237.0,12499.5,67622.5,9.0,,,,,,,,,,,,,,,,,,,,,,,
1,63.5,674.0,172.0,124.5,86.0,127.5,213.0,45.5,244.5,459.0,721.5,7.0,4.0,35.0,580.5,23.5,7.5,14.0,306.0,3.5,628.0,756.5,742.0,305.0,32.0,221.0,682.5,151.0,1.0,25.5,27.5,47.5,137.5,64.0,43.0,57.5,36.0,34.5,47.5,63.5,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,51.5,11.0,34.5,82.0,11.5,15.0,13.0,243.5,256.5,563.5,193.5,190.5,5.0,473.5,45.0,8.0,22.0,99.5,32.0,23.0,38.0,19.5,102.5,362.0,64.0,586.5,138.0,67.0,218.5,13.0,35.0,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,51.5,231.5,5.5,3.0,172.0,58.5,107.0,122.5,339.0,26.0,151.0,75.0,28.0,1068.0,42.0,150.0,478.0,25.0,167.0,139.5,123.0,106.0,5.0,119.0,11.0,219.0,113.5,719.0,19.5,12.0,81.5,45.0,9.0,24.0,10.0,185.0,176.0,52.5,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,430.0,71.0,94.0,127.0,73.0,192.5,315.0,6.0,285.5,76.5,67.5,34.5,30.0,410.5,257.0,30.5,15.0,72.5,184.0,308.5,103.0,278.5,190.0,138.5,309.0,517.5,111.5,152.5,36.0,110.0,239.0,83.0,72.5,136.5,109.5,246.0,52.0,37.0,53.0,9.0,6.0,48.5,52.5,140.5,189.5,104.5,201.0,395.5,104.5,186.0,286.0,120.0,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,82.0,10.5,894.5,282.0,377.0,24.5,159.0,645.5,70.5,108.5,127.5,57.5,158.5,10.5,8.0,11.5,39.5,345.0,20.5,227.0,113.5,61.0,792.5,163.5,62.5,1123.0,62.0,715.5,94.5,166.0,146.5,135.5,354.5,124.5,40.0,30.0,404.0,72.0,83.5,41.5,5.0,7.5,69.5,352.0,2.5,138.0,601.5,217.0,238.5,1918.5,24.0,271.5,778.0,156.0,193.0,50.0,273.5,549.0,116.5,19.5,112.0,11.0,221.0,1.0,30.0,119.0,47.5,36.0,152.5,85.5,62.5,174.0,129.5,,,,,,,,
6,278.5,251.0,5776.5,119.0,76.5,298.0,100.5,45.0,145.5,303.0,749.0,260.0,7.0,19.0,56.0,135.0,34.5,638.5,213.0,63.5,41.0,450.0,171.0,269.5,41.0,440.0,274.5,677.0,22.0,615.0,179.0,100.5,195.5,79.0,77.5,128.5,135.0,17.5,48.5,45.5,0.5,391.5,646.0,87.5,583.0,264.5,108.5,65.0,12.0,55.5,109.0,130.0,132.5,90.0,156.5,66.0,14.5,131.0,,,,,,,,,,,,,,,,,,,,,,,
7,9.5,223.5,32.5,321.5,534.5,37.0,108.0,7.5,162.5,653.0,124.5,209.5,242.0,1008.0,178.5,1446.0,10.0,12.0,70.0,13.5,5.0,160.0,140.5,83.0,268.0,347.5,2.0,663.5,1133.0,316.5,59.5,238.5,123.0,254.5,22.0,172.0,130.5,261.0,38.0,96.5,12.5,1018.0,238.5,46.0,209.0,30.0,707.0,19.5,72.0,5942.5,45.0,614.5,340.5,153.5,88.5,154.0,600.0,32.5,213.0,5.5,96.5,130.0,96.5,240.0,,,,,,,,,,,,,,,,,
8,7.5,6.0,283.0,134.0,51.0,363.0,393.5,1380.0,29.0,13.0,307.5,15.0,265.0,955.0,48.0,220.0,339.5,196.5,144.5,173.5,247.0,347.0,200.5,57.5,51.5,114.5,233.0,27.5,36.5,526.5,32.5,175.0,159.5,25.0,173.0,196.0,90.5,106.0,54.0,82.0,10643.0,587.5,279.5,259.0,3.0,16.5,31.0,322.5,6.0,167.0,233.5,142.5,564.0,92.5,1.0,57.5,24.0,14.5,154.0,147.5,22.5,3.0,32.5,0.5,322.5,359.0,12.0,993.5,9.5,500.5,113.5,37.0,23.0,102.0,16.0,8.0,49.5,16.5,536.0,100.5,13.0
9,183.0,294.5,117.0,92.0,54.0,41.5,14.0,280.5,19.0,1167.0,11.5,92.5,46.5,279.0,248.5,249.5,1132.0,4.0,90.0,157.0,340.5,1.0,200.5,0.5,38.0,144.0,8.0,33.5,135.5,194.0,9.5,178.0,5.0,5709.0,168.0,252.5,267.5,22.0,10.0,160.5,125.5,404.5,31.0,297.5,50.0,46.0,86.0,265.0,91.0,138.5,125.5,371.0,168.5,48.0,252.5,8.0,271.0,111.5,34.5,24.5,124.0,10.0,220.0,89.5,,,,,,,,,,,,,,,,,
10,268.0,35.0,447.5,252.5,140.5,148.0,2.0,145.5,389.5,203.0,31.5,508.5,443.5,24.5,9.0,49.0,251.5,67.5,28.0,185.0,316.5,130.5,112.0,4.5,121.0,93.5,69.5,13.0,66.5,340.0,1.0,242.5,10.5,108.5,74.0,229.0,108.0,182.5,104.0,100.5,127.0,34.0,929.5,344.0,981.0,159.0,134.0,259.0,45.5,107.5,150.0,77.5,1606.0,412.0,55.0,4.5,22.5,148.5,320.5,23.0,256.0,54.0,35.5,47.5,7.5,6.0,18.5,78.5,,,,,,,,,,,,,
11,122.0,157.0,82.5,79.0,35.5,382.0,73.5,334.5,501.5,10.5,21.0,57.5,696.5,117.5,378.0,660.0,197.5,18.0,228.5,89.5,39.0,355.0,148.0,258.5,16.0,280.5,190.0,8.0,170.5,142.5,313.0,87.5,167.5,220.5,30.0,127.0,168.0,107.0,17.0,237.5,0.5,244.5,14.5,4.0,135.5,69.5,99.5,51.0,30.5,116.5,1.0,16.5,169.5,198.5,14.5,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,38.5,195.5,106.5,57.5,55.5,292.5,492.5,21.5,25.5,54.0,143.0,253.0,14.5,32.0,592.0,180.5,62.5,24.0,32.5,124.5,311.5,59.5,51.0,22.5,192.5,126.5,103.5,38.5,18.0,12.0,68.0,375.5,318.0,17.5,2.0,100.0,2.5,27.0,528.5,1138.5,75.0,155.0,115.0,39.0,22.0,2.5,12.5,32.5,306.5,193.0,18.5,4.0,30.5,20.5,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21.0,66.0,3.0,124.5,120.0,135.0,5.0,32.0,131.0,32.5,40.5,2046.5,35.0,4268.0,97.5,100.5,175.5,198.0,99.0,117.0,1.5,84.0,140.5,40.0,257.0,52.5,24.5,6.5,308.5,162.0,107.5,18.0,328.0,738.0,335.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.5,114.0,29.0,38.0,203.0,30.5,59.0,63.5,288.5,20.0,16.0,1799.5,45.0,145.5,540.0,1214.0,540.0,260.5,388.5,213.5,21.5,118.5,36.0,206.5,76.5,140.0,60.5,635.0,153.5,28.5,3.0,6.5,6.5,88.5,3.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,63.0,43.0,106.0,146.0,49.5,779.0,94.5,212.0,114.5,86.0,60.5,437.5,6807.0,260.0,16.0,618.0,483.0,349.5,2248.5,12236.5,30.0,72.5,690.0,142.0,1663.5,465.5,5476.0,45.0,195.0,21.5,37.5,1094.5,110.5,3160.5,206.0,438.5,40.5,476.0,1298.5,305.0,175.0,687.0,260.5,264.5,762.0,10.0,3.0,13.5,29.5,9333.0,120.5,51.5,11.5,23.0,1137.0,1.0,2.0,20.0,39.0,18.5,21.5,38.0,26.0,111.0,,,,,,,,,,,,,,,,,
16,49.0,30.5,457.0,200.5,117.0,213.0,568.0,115.5,574.5,173.5,299.0,187.5,202.5,185.0,3387.5,167.0,77.0,190.5,215.5,127.5,537.0,367.0,148.5,299.5,118.5,227.0,40.0,166.0,235.0,180.0,191.0,237.5,126.5,90.0,2.5,150.0,247.0,871.0,97.0,353.5,76.0,307.5,146.0,190.0,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,113.0,126.0,32.0,120.0,201.5,18.5,167.0,271.0,253.5,154.5,449.0,543.5,225.5,74.5,451.5,131.0,265.0,156.5,167.0,160.5,103.0,10.5,915.0,80.0,10.5,35.5,597.0,163.5,3.0,63.0,176.0,104.5,428.5,204.5,112.0,12.0,32.5,165.5,91.0,241.5,115.0,46.5,29.5,122.5,91.5,15.5,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,314.0,1071.0,278.0,183.0,401.5,200.5,294.5,297.5,667.5,285.0,332.5,198.5,316.5,260.5,541.0,203.0,127.5,212.5,259.5,150.5,614.5,316.5,311.5,146.0,157.5,64.0,340.0,9.0,182.5,192.0,116.5,6.0,261.0,85.0,242.5,152.5,151.5,217.5,78.0,170.5,454.5,252.0,17.5,163.5,2.0,21.0,74.5,133.5,329.5,39.5,828.5,163.5,149.5,185.0,133.0,115.0,99.5,,,,,,,,,,,,,,,,,,,,,,,,
19,89.0,141.5,48.5,128.0,260.0,562.0,277.5,226.0,332.5,310.0,889.0,144.5,359.0,173.5,201.5,355.5,246.0,144.5,203.5,190.0,17.0,180.5,104.5,1284.0,35.5,154.5,380.5,55.0,10.0,16.5,7.0,62.0,699.0,63.0,182.0,175.0,155.5,21.5,143.5,19.0,216.0,188.0,37.5,58.0,101.5,76.0,70.5,121.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,365.5,113.5,93.5,258.5,44.0,195.0,85.5,333.0,56.0,41.0,198.0,45.0,164.0,116.0,408.5,349.5,641.0,914.5,202.0,2.0,152.5,185.0,18.0,74.0,122.5,236.0,17.0,382.0,246.0,176.0,207.0,317.0,291.5,134.5,47.0,74.0,157.0,109.5,204.5,13.0,1138.0,19.0,29.5,45.0,137.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,52.0,49.0,202.5,176.0,137.0,1.0,21.5,137.5,237.0,280.5,584.0,242.0,365.5,57.5,177.5,145.5,19.5,351.5,297.0,314.0,224.5,14.0,197.5,11.0,4.5,41.5,109.0,655.0,255.5,1475.5,132.0,48.5,99.5,126.5,165.0,187.5,17.0,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,152.0,251.0,121.0,67.5,1311.5,59.5,445.5,3641.5,535.5,212.0,36.5,123.0,686.0,88.0,128.0,221.5,263.0,30.0,94.0,345.0,466.5,38.0,124.0,438.0,1460.5,269.0,142.0,56.0,273.5,650.5,175.0,107.0,543.5,144.5,235.0,41.5,71.0,69.5,8.0,172.0,128.0,78.0,58.5,10.5,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21.0,220.0,1270.0,7.0,2494.5,498.5,170.5,225.5,187.5,310.5,11.5,357.5,131.5,221.5,409.0,442.5,215.5,20.0,17.5,105.0,751.0,44.5,109.0,27.5,224.0,172.5,199.5,197.0,366.5,360.5,104.0,15.5,58.0,212.0,91.0,638.5,160.5,4.0,64.0,21.5,126.5,193.0,213.0,159.0,39.0,661.5,162.0,329.5,182.5,2329.0,315.0,25.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.0,103.5,104.0,130.5,16.0,2.0,56.5,1.0,100.5,34.5,106.5,180.0,450.5,358.0,14.0,1.0,346.0,108.0,331.0,214.0,239.0,23.5,49.5,120.0,271.0,520.0,189.5,122.0,14.5,229.0,144.0,111.5,408.5,133.0,27.0,3.0,46.0,6.5,85.5,143.0,13.5,4.0,88.5,36.0,6.5,45.5,10.5,262.5,6.5,2050.0,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,44.0,134.5,48.5,200.0,23.5,2.5,45.0,346.5,31.0,37.5,225.0,76.5,400.5,430.5,155.0,258.0,1805.0,242.0,128.0,519.0,335.0,131.5,493.0,67.5,4.0,14.0,5212.5,13.0,5.5,4376.5,58.5,4697.5,5.0,104.0,237.0,5188.5,284.0,107.0,154.0,50.5,263.5,6.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5.5,93.5,55.0,20.5,508.0,57.0,9.0,70.5,181.0,84.0,585.0,119.5,138.5,240.5,13.5,461.5,1.0,115.5,8591.5,217.0,699.5,131.5,174.5,287.0,45.0,223.0,279.5,129.0,90.0,135.5,75.5,188.5,252.0,67.5,86.5,231.0,111.0,141.0,214.5,142.5,3.0,226.0,7.0,238.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
